#\delta	Number of cells	Cumulative
0.92800	1727	2779128
0.93000	1715	2780843
0.93200	1668	2782511
0.93400	1729	2784240
0.93600	1753	2785993
0.93800	1711	2787704
0.94000	1649	2789353
0.94200	1709	2791062
0.94400	1642	2792704
0.94600	1662	2794366
0.94800	1647	2796013
0.95000	1630	2797643
0.95200	1615	2799258
0.95400	1655	2800913
0.95600	1589	2802502
0.95800	1642	2804144
0.96000	1584	2805728
0.96200	1688	2807416
0.96400	1680	2809096
0.96600	1605	2810701
0.96800	1620	2812321
0.97000	1582	2813903
0.97200	1563	2815466
0.97400	1638	2817104
0.97600	1617	2818721
0.97800	1636	2820357
0.98000	1599	2821956
0.98200	1607	2823563
0.98400	1563	2825126
0.98600	1565	2826691
0.98800	1633	2828324
0.99000	1573	2829897
0.99200	1603	2831500
0.99400	1627	2833127
0.99600	1578	2834705
0.99800	1555	2836260
1.00000	1565	2837825
1.00200	1548	2839373
1.00400	1616	2840989
1.00600	1516	2842505
1.00800	1523	2844028
1.01000	1573	2845601
1.01200	1551	2847152
1.01400	1597	2848749
1.01600	1590	2850339
1.01800	1502	2851841
1.02000	1574	2853415
1.02200	1486	2854901
1.02400	1477	2856378
1.02600	1484	2857862
1.02800	1435	2859297
1.03000	1557	2860854
1.03200	1513	2862367
1.03400	1485	2863852
1.03600	1508	2865360
1.03800	1553	2866913
1.04000	1458	2868371
1.04200	1470	2869841
1.04400	1437	2871278
1.04600	1486	2872764
1.04800	1456	2874220
1.05000	1505	2875725
1.05200	1415	2877140
1.05400	1394	2878534
1.05600	1448	2879982
1.05800	1450	2881432
1.06000	1442	2882874
1.06200	1500	2884374
1.06400	1376	2885750
1.06600	1460	2887210
1.06800	1434	2888644
1.07000	1452	2890096
1.07200	1472	2891568
1.07400	1426	2892994
1.07600	1401	2894395
1.07800	1378	2895773
1.08000	1445	2897218
1.08200	1484	2898702
1.08400	1351	2900053
1.08600	1422	2901475
1.08800	1389	2902864
1.09000	1371	2904235
1.09200	1415	2905650
1.09400	1399	2907049
1.09600	1422	2908471
1.09800	1360	2909831
1.10000	1339	2911170
1.10200	1417	2912587
1.10400	1494	2914081
1.10600	1355	2915436
1.10800	1363	2916799
1.11000	1393	2918192
1.11200	1342	2919534
1.11400	1350	2920884
1.11600	1376	2922260
1.11800	1336	2923596
1.12000	1337	2924933
1.12200	1387	2926320
1.12400	1364	2927684
1.12600	1346	2929030
1.12800	1393	2930423
1.13000	1328	2931751
1.13200	1384	2933135
1.13400	1354	2934489
1.13600	1430	2935919
1.13800	1330	2937249
1.14000	1344	2938593
1.14200	1339	2939932
1.14400	1375	2941307
1.14600	1338	2942645
1.14800	1297	2943942
1.15000	1343	2945285
1.15200	1332	2946617
1.15400	1297	2947914
1.15600	1262	2949176
1.15800	1238	2950414
1.16000	1318	2951732
1.16200	1244	2952976
1.16400	1281	2954257
1.16600	1279	2955536
1.16800	1333	2956869
1.17000	1295	2958164
1.17200	1287	2959451
1.17400	1227	2960678
1.17600	1339	2962017
1.17800	1290	2963307
1.18000	1235	2964542
1.18200	1220	2965762
1.18400	1246	2967008
1.18600	1245	2968253
1.18800	1325	2969578
1.19000	1247	2970825
1.19200	1219	2972044
1.19400	1274	2973318
